,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name
122,7.393375,ml,"Blue Curaçao, Bols",Liqueur,10,20,Nandakhal
123,2,dr,"Cardamom bitters, Scrappy's",General,0,20,Nandakhal
124,2,dr,"Lemon Tree Bitters, Bittercube",General,0,20,Nandakhal
125,118.294,ml,Tonic water,General,0,20,Nandakhal
126,1,wdg,Lime,General,0,20,Nandakhal
127,59.147,ml,Gin,Gin,1,21,The Narcissist
128,22.180125,ml,Lime juice,General,0,21,The Narcissist
129,1,spl,Ginger beer,General,0,21,The Narcissist
130,1,spl,Crème de Violette,Liqueur,10,21,The Narcissist
131,1,lf,Shiso (muddled),General,0,21,The Narcissist
132,29.5735,ml,Apple Brandy,Brandy,5,22,Nassau Street Cocktail
133,29.5735,ml,"Sweet vermouth, Carpano Punt e Mes",Wine,8,22,Nassau Street Cocktail
134,29.5735,ml,Cynar,Liqueur,10,22,Nassau Street Cocktail
135,2,ds,Peychaud's Bitters,General,0,22,Nassau Street Cocktail
136,1,,Maraschino cherry,Garnish,11,22,Nassau Street Cocktail
137,44.36025,ml,Gin,Gin,1,23,Navy Fizz
138,1,sli,Nectarine,General,0,23,Navy Fizz
139,2,spg,Rosemary,Garnish,11,23,Navy Fizz
140,22.180125,ml,Campari,Liqueur,10,23,Navy Fizz
141,22.180125,ml,Simple syrup,General,0,23,Navy Fizz
142,22.180125,ml,Lemon juice,General,0,23,Navy Fizz
143,59.147,ml,Soda water (to top),General,0,23,Navy Fizz
144,29.5735,ml,"Gin, Plymouth Navy Strength",Gin,1,24,Naval Gimlet
145,29.5735,ml,"Lime cordial, Rose's",General,0,24,Naval Gimlet
146,22.180125,ml,Absinthe,Spirits,21,25,Necromancer
147,22.180125,ml,"Aromatized wine, Lillet Blanc",Wine,8,25,Necromancer
148,22.180125,ml,"Elderflower liqueur, St. Germain",Liqueur,10,25,Necromancer
149,22.180125,ml,Lemon juice,General,0,25,Necromancer
150,1,ds,Gin,Gin,1,25,Necromancer
151,44.36025,ml,Añejo tequila (Pueblo Viejo),Tequila,6,26,Nectar o(ld) f(ashioned) The Gods
152,14.78675,ml,"Mezcal, Del Maguey",Mezcal,20,26,Nectar o(ld) f(ashioned) The Gods
153,7.393375,ml,Agave Syrup,General,0,26,Nectar o(ld) f(ashioned) The Gods
154,2,ds,Grapefruit bitters (Bittermen's Hopped Grapefruit),General,0,26,Nectar o(ld) f(ashioned) The Gods
155,1,ds,"Bitters, Angostura",General,0,26,Nectar o(ld) f(ashioned) The Gods
156,44.36025,ml,Gin (Extra credit if navy proof (57%)),Gin,1,27,NeGrogni
157,29.5735,ml,"Sweet vermouth, Carpano Punt e Mes",Wine,8,27,NeGrogni
158,29.5735,ml,Campari,Liqueur,10,27,NeGrogni
159,29.5735,ml,White grapefruit juice,General,0,27,NeGrogni
160,29.5735,ml,Lime juice,General,0,27,NeGrogni
161,29.5735,ml,Ginger syrup,General,0,27,NeGrogni
162,36.966875,ml,Byrrh,Wine,8,28,Negroadie
163,36.966875,ml,Blanco Tequila,Tequila,6,28,Negroadie
164,36.966875,ml,Campari,Liqueur,10,28,Negroadie
165,44.36025,ml,Gin,Gin,1,29,Negroni Club
166,22.180125,ml,Lemon juice,General,0,29,Negroni Club
167,14.78675,ml,Sweet vermouth,Wine,8,29,Negroni Club
168,14.78675,ml,Campari,Liqueur,10,29,Negroni Club
169,14.78675,ml,Raspberry syrup,General,0,29,Negroni Club
170,1,ds,Peychaud's Bitters,General,0,29,Negroni Club
171,1,,Egg white,General,0,29,Negroni Club
172,22.180125,ml,Gin,Gin,1,30,Negroni Crusta
173,22.180125,ml,Sweet vermouth,Wine,8,30,Negroni Crusta
174,22.180125,ml,Campari,Liqueur,10,30,Negroni Crusta
175,7.393375,ml,Curaçao,Liqueur,10,30,Negroni Crusta
176,7.393375,ml,Maraschino Liqueur,Liqueur,10,30,Negroni Crusta
177,7.393375,ml,Lemon juice,General,0,30,Negroni Crusta
178,1,ds,"Bitters, Angostura",General,0,30,Negroni Crusta
179,1,twst,Lemon peel,Garnish,11,30,Negroni Crusta
180,1,,Sugar (For rimming the glass),General,0,30,Negroni Crusta
181,29.5735,ml,Gin,Gin,1,31,Negroni Grog
182,29.5735,ml,Sweet vermouth,Wine,8,31,Negroni Grog
183,29.5735,ml,Campari,Liqueur,10,31,Negroni Grog
184,22.180125,ml,Grapefruit juice,General,0,31,Negroni Grog
185,22.180125,ml,Lime juice,General,0,31,Negroni Grog
186,22.180125,ml,Honey syrup (1:1),General,0,31,Negroni Grog
187,7.393375,ml,Allspice Dram,Liqueur,10,31,Negroni Grog
188,29.5735,ml,Soda water (Not included in the shake),General,0,31,Negroni Grog
189,59.147,ml,Gin,Gin,1,32,Negroni Sans
190,14.78675,ml,"Sweet vermouth, Cocchi Vermouth di Torino",Wine,8,32,Negroni Sans
191,14.78675,ml,"Dry vermouth, Dolin",Wine,8,32,Negroni Sans
192,99.8105625,ml,Sanbitter,General,0,32,Negroni Sans
193,7.393375,ml,Lime juice,General,0,32,Negroni Sans
194,44.36025,ml,Scotch,Whisky,4,33,New Nails
195,14.78675,ml,"Jamaican rum, Smith & Cross",Rum,2,33,New Nails
196,14.78675,ml,Drambuie,Liqueur,10,33,New Nails
197,14.78675,ml,Swedish Punsch,Liqueur,10,33,New Nails
198,2,ds,"Bitters, Angostura",General,0,33,New Nails
199,2,ds,Absinthe,Spirits,21,33,New Nails
200,1,twst,Orange peel,Garnish,11,33,New Nails
201,59.147,ml,Bourbon,Whisky,4,34,New York Stone Sour
202,14.78675,ml,Lemon juice,General,0,34,New York Stone Sour
203,7.393375,ml,Orange juice,General,0,34,New York Stone Sour
204,1,t,Sugar,General,0,34,New York Stone Sour
205,14.78675,ml,Red wine,Wine,8,34,New York Stone Sour
206,1,t,Brown Sugar,General,0,35,Newton's Law (apple butter variation)
207,1,t,Water (Hot),General,0,35,Newton's Law (apple butter variation)
208,44.36025,ml,Bourbon,Whisky,4,35,Newton's Law (apple butter variation)
209,14.78675,ml,Lemon juice,General,0,35,Newton's Law (apple butter variation)
210,2,t,Apple butter,General,0,35,Newton's Law (apple butter variation)
211,25.8768125,ml,"Mezcal, Ilegal",Mezcal,20,36,Nice Bitter Toast
212,14.78675,ml,"Tequila, Tromba",Tequila,6,36,Nice Bitter Toast
213,14.78675,ml,Cynar,Liqueur,10,36,Nice Bitter Toast
214,25.8768125,ml,Lemon juice,General,0,36,Nice Bitter Toast
215,14.78675,ml,Simple syrup,General,0,36,Nice Bitter Toast
216,1,t,Marmalade (Carrot marmalade optional),General,0,36,Nice Bitter Toast
217,1,,Egg white,General,0,36,Nice Bitter Toast
218,29.5735,ml,Gin (London or Holland dry),Gin,1,37,Nicole Bettinger
219,29.5735,ml,Bianco Vermouth,Wine,8,37,Nicole Bettinger
220,22.180125,ml,Kirschwasser,Brandy,5,37,Nicole Bettinger
221,22.180125,ml,Drambuie,Liqueur,10,37,Nicole Bettinger
222,51.753625,ml,Bourbon,Whisky,4,38,Night Tripper
223,22.180125,ml,Averna,Liqueur,10,38,Night Tripper
224,7.393375,ml,Strega,Liqueur,10,38,Night Tripper
225,2,ds,Peychaud's Bitters,General,0,38,Night Tripper
226,1,twst,Orange peel,General,0,38,Night Tripper
227,44.36025,ml,"Rye, Rittenhouse 100",Whisky,4,39,Night Ranger
228,14.78675,ml,Cardamaro,Wine,8,39,Night Ranger
229,1,t,Grenadine (cardamom grenadine),General,0,39,Night Ranger
230,1,ds,"Bitters, Fee Brothers Whiskey Barrel Aged",Whisky,4,39,Night Ranger
231,29.5735,ml,Aperol,Liqueur,10,40,No. 67
232,22.180125,ml,"Mezcal, Del Maguey Vida",Mezcal,20,40,No. 67
233,14.78675,ml,Fernet Branca,Spirits,21,40,No. 67
234,59.147,ml,Ginger beer,General,0,40,No. 67
235,2,ds,"Bitters, 5 by 5 Aged Citrus",General,0,40,No. 67
236,1,twst,Orange peel,General,0,40,No. 67
237,22.180125,ml,Grenadine,General,0,41,No Rose Nick
238,29.5735,ml,Lime juice,General,0,41,No Rose Nick
239,44.36025,ml,"Applejack, Lairds",Brandy,5,41,No Rose Nick
240,14.78675,ml,Baska Snaps,Spirits,21,41,No Rose Nick
