,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,url
89,,,lime wedge,Garnish,11,3011,Mezcal Manzanilla Margarita,https://www.diffordsguide.com/cocktails/recipe/16860/mezcal-manzanilla-margarita
90,25,ml,Patrón Reposado tequila,Tequila,6,3012,50:50 Margarita,https://www.diffordsguide.com/cocktails/recipe/16859/5050-margarita
91,25,ml,Patrón Silver blanco tequila,Tequila,6,3012,50:50 Margarita,https://www.diffordsguide.com/cocktails/recipe/16859/5050-margarita
92,12.5,ml,De Kuyper Triple Sec (40%),Liqueur,10,3012,50:50 Margarita,https://www.diffordsguide.com/cocktails/recipe/16859/5050-margarita
93,12.5,ml,Agave syrup,General,0,3012,50:50 Margarita,https://www.diffordsguide.com/cocktails/recipe/16859/5050-margarita
94,22.5,ml,Lime juice,General,0,3012,50:50 Margarita,https://www.diffordsguide.com/cocktails/recipe/16859/5050-margarita
95,4,drop,Difford's Margarita Bitters,General,0,3012,50:50 Margarita,https://www.diffordsguide.com/cocktails/recipe/16859/5050-margarita
96,,,Orange juice,Garnish,11,3012,50:50 Margarita,https://www.diffordsguide.com/cocktails/recipe/16859/5050-margarita
97,,,salt rim,Garnish,11,3012,50:50 Margarita,https://www.diffordsguide.com/cocktails/recipe/16859/5050-margarita
98,,,lime wedge,Garnish,11,3012,50:50 Margarita,https://www.diffordsguide.com/cocktails/recipe/16859/5050-margarita
99,60,ml,Rutte Dry Gin,Gin,1,3013,The Harlem,https://www.diffordsguide.com/cocktails/recipe/933/the-harlem
100,7.5,ml,Luxardo Maraschino liqueur,Liqueur,10,3013,The Harlem,https://www.diffordsguide.com/cocktails/recipe/933/the-harlem
101,40,ml,Pineapple juice,General,0,3013,The Harlem,https://www.diffordsguide.com/cocktails/recipe/933/the-harlem
102,4,drop,Difford's Margarita Bitters,General,0,3013,The Harlem,https://www.diffordsguide.com/cocktails/recipe/933/the-harlem
103,,,Skewered Luxardo Maraschino cherry,Garnish,11,3013,The Harlem,https://www.diffordsguide.com/cocktails/recipe/933/the-harlem
104,30,ml,Rutte Dry Gin,Gin,1,3014,Negroni Rosa,https://www.diffordsguide.com/cocktails/recipe/15756/negroni-rosa
105,30,ml,Amaro Santoni,Liqueur,10,3014,Negroni Rosa,https://www.diffordsguide.com/cocktails/recipe/15756/negroni-rosa
106,30,ml,Rosato/rosé vermouth,Wine,8,3014,Negroni Rosa,https://www.diffordsguide.com/cocktails/recipe/15756/negroni-rosa
107,,,Orange zest twist,Garnish,11,3014,Negroni Rosa,https://www.diffordsguide.com/cocktails/recipe/15756/negroni-rosa
108,60,ml,Pisco,Brandy,5,3015,Piscola,https://www.diffordsguide.com/cocktails/recipe/1564/piscola
109,2,dash,Angostura Aromatic Bitters (optional),General,0,3015,Piscola,https://www.diffordsguide.com/cocktails/recipe/1564/piscola
110,110,ml,Cola,General,0,3015,Piscola,https://www.diffordsguide.com/cocktails/recipe/1564/piscola
111,,,Lime wedge squeezed,Garnish,11,3015,Piscola,https://www.diffordsguide.com/cocktails/recipe/1564/piscola
112,45,ml,Rutte Dry Gin,Gin,1,3016,Hugo Rickey,https://www.diffordsguide.com/cocktails/recipe/16958/hugo-rickey
113,15,ml,Lime juice,General,0,3016,Hugo Rickey,https://www.diffordsguide.com/cocktails/recipe/16958/hugo-rickey
114,7.5,ml,Giffard Grenadine syrup,General,0,3016,Hugo Rickey,https://www.diffordsguide.com/cocktails/recipe/16958/hugo-rickey
115,80,ml,Thomas Henry Soda Water,General,0,3016,Hugo Rickey,https://www.diffordsguide.com/cocktails/recipe/16958/hugo-rickey
116,,,Half fresh pineapple slice wheel,Garnish,11,3016,Hugo Rickey,https://www.diffordsguide.com/cocktails/recipe/16958/hugo-rickey
117,45,ml,Calvados & straight applejacks,Brandy,5,3017,La Frangipane,https://www.diffordsguide.com/cocktails/recipe/16974/la-frangipane
118,10,ml,Giffard Orgeat Syrup,General,0,3017,La Frangipane,https://www.diffordsguide.com/cocktails/recipe/16974/la-frangipane
119,15,ml,Lemon juice,General,0,3017,La Frangipane,https://www.diffordsguide.com/cocktails/recipe/16974/la-frangipane
120,1,dash,Orange Bitters by Angostura,General,0,3017,La Frangipane,https://www.diffordsguide.com/cocktails/recipe/16974/la-frangipane
121,,,Coin-sized orange zest twist,Garnish,11,3017,La Frangipane,https://www.diffordsguide.com/cocktails/recipe/16974/la-frangipane
122,45,ml,Calvados & straight applejacks,Brandy,5,3018,Avaltini,https://www.diffordsguide.com/cocktails/recipe/16959/avaltini
123,25,ml,Apple Juice,General,0,3018,Avaltini,https://www.diffordsguide.com/cocktails/recipe/16959/avaltini
124,20,ml,Lemon juice,General,0,3018,Avaltini,https://www.diffordsguide.com/cocktails/recipe/16959/avaltini
125,10,ml,Sugar syrup (rich),General,0,3018,Avaltini,https://www.diffordsguide.com/cocktails/recipe/16959/avaltini
126,,,apple slice,Garnish,11,3018,Avaltini,https://www.diffordsguide.com/cocktails/recipe/16959/avaltini
