"cocktail_id","cocktail_base","cocktail_color1","cocktail_color2","cocktail_content","cocktail_difficulty","cocktail_glass","cocktail_img","cocktail_name_en","cocktail_name_ko","cocktail_rating","cocktail_update_date","cocktail_update_by"
598,"Whisky","갈색","흰색","기빈즈 부스트(Gibbons Boost) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",1.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/gibbons-boost.jpg?itok=ol97h7BC","Gibbons Boost","기빈즈 부스트",0.0,"",0
599,"Tequila","흰색","흰색","길디드 팔로머(Gilded Paloma) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/gildedpaloma.jpg?itok=KIUbgElq","Gilded Paloma","길디드 팔로머",0.0,"",0
600,"Gin","흰색","흰색","진-셀-레이(Gin-Cel-Ray) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/gin-cel-ray.jpg?itok=VrEsrmEU","Gin-Cel-Ray","진-셀-레이",0.0,"",0
601,"Gin","흰색","흰색","진 진 카레!(Gin Gin Carr?!) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/gingincarre400.jpg?itok=G3XfaRF8","Gin Gin Carr?!","진 진 카레!",0.0,"",0
602,"Whisky","갈색","흰색","진저 래빗(Ginger Rabbit) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/ginger-rabbit_11.jpg?itok=_uUMpACB","Ginger Rabbit","진저 래빗",0.0,"",0
603,"Whisky","노란색","흰색","진저브레드(Gingerbread) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/img_5825_1.jpeg?itok=u3-0gYGB","Gingerbread","진저브레드",0.0,"",0
604,"Liqueur","갈색","흰색","주세페 페라리(Giuseppe's Ferrari) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/giuseppe_ferrari.jpg?itok=0rr-BDzS","Giuseppe's Ferrari","주세페 페라리",0.0,"",0
605,"Whisky","갈색","흰색","글래드스톤(Gladstone) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/gladstone.jpg?itok=K8IQmObV","Gladstone","글래드스톤",0.0,"",0
606,"Brandy","초록색","흰색","글로잉 그린(Glowing Green) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/cocktail_Glowing%20Green_best%20jpg.jpg?itok=fQOLWPBY","Glowing Green","글로잉 그린",0.0,"",0
607,"Liqueur","갈색","분홍색","더 가블린즈 턴 투 스톤(The Goblins Turn to Stone) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/goblinsturnedtostone6260.jpg?itok=jWwc5y5X","The Goblins Turn to Stone","더 가블린즈 턴 투 스톤",0.0,"",0
