,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,ingredient_id,db_cocktail_ingredient_name,db_ingredient_name
3022,14.80,ml,"Elderflower liqueur, St. Germain",Liqueur,10,538,Bison Drop,738,"elderflower liqueur, st. germain","elderflower liqueur, st. germain"
3023,14.80,ml,Lemon juice,General,0,538,Bison Drop,1085,lemon juice,lemon juice
3024,14.80,ml,Honey syrup,General,0,538,Bison Drop,970,honey syrup,honey syrup
3025,2,ds,"Orange bitters, Bitter Truth Orange",General,0,538,Bison Drop,1264,"orange bitters, bitter truth orange",orange bitters
3026,1,sli,Lemon,Garnish,11,538,Bison Drop,1079,lemon,lemon
3027,1⁄2,,Peach,Garnish,11,539,Bitter Double ImPeachMint,1345,peach,peach
3028,1,wdg,Lemon,General,0,539,Bitter Double ImPeachMint,1080,lemon,lemon
3029,3,lf,Mint,Garnish,11,539,Bitter Double ImPeachMint,1212,mint,mint
3030,44.40,ml,Dry peach brandy,Brandy,5,539,Bitter Double ImPeachMint,703,dry peach brandy,dry peach brandy
3031,14.80,ml,"Bourbon, Four Roses",Whisky,4,539,Bitter Double ImPeachMint,331,"bourbon, four roses","bourbon, four roses"
3032,2,ds,"Bitters, Fee Brothers Peach",General,0,539,Bitter Double ImPeachMint,1344,"bitters, fee brothers peach",peach
3033,1,ds,Mint Bitters (optional),General,0,539,Bitter Double ImPeachMint,1214,mint bitters (optional),mint bitters
3034,44.40,ml,Irish whiskey (Tullamore DEW),Whisky,4,540,Bitter Irishman,993,irish whiskey (tullamore dew),irish whiskey (tullamore dew)
3035,29.60,ml,"Coffee liqueur, Mr. Black",Liqueur,10,540,Bitter Irishman,566,"coffee liqueur, mr. black","coffee liqueur, mr. black"
3036,14.80,ml,Averna,Liqueur,10,540,Bitter Irishman,137,averna,averna
3037,2,ds,"Orange bitters, Regans' orange bitters",General,0,540,Bitter Irishman,1264,"orange bitters, regans' orange bitters",orange bitters
3038,44.40,ml,Heavy Cream,General,0,540,Bitter Irishman,608,heavy cream,cream
3039,59.10,ml,"Gin, Caorunn",Gin,1,541,Bitter Marty,831,"gin, caorunn","gin, caorunn"
3040,22.20,ml,"Dry vermouth, Carpano",Wine,8,541,Bitter Marty,709,"dry vermouth, carpano","dry vermouth, carpano"
3041,14.80,ml,Salers Gentiane,Liqueur,10,541,Bitter Marty,1611,salers gentiane,salers gentiane
3042,7.40,ml,Absinthe,Spirits,21,541,Bitter Marty,1,absinthe,absinthe
3043,2,ds,Cardamom bitters,General,0,541,Bitter Marty,420,cardamom bitters,cardamom bitters
3044,1,twst,Lemon peel,General,0,541,Bitter Marty,1086,lemon peel,lemon peel
3045,22.20,ml,"Rye, Rittenhouse 100",Whisky,4,542,Bitter Raisin,1600,"rye, rittenhouse 100","rye, rittenhouse 100"
3046,22.20,ml,"Cognac, Pierre Ferrand 1840",Brandy,5,542,Bitter Raisin,579,"cognac, pierre ferrand 1840","cognac, pierre ferrand 1840"
3047,14.80,ml,Cynar,Liqueur,10,542,Bitter Raisin,653,cynar,cynar
3048,14.80,ml,Bonal Gentiane Quina,Wine,8,542,Bitter Raisin,318,bonal gentiane quina,bonal gentiane quina
3049,14.80,ml,Gran Classico,General,0,542,Bitter Raisin,898,gran classico,gran classico
3050,1,twst,Orange peel,Garnish,11,542,Bitter Raisin,1290,orange peel,orange peel
3051,1,,Raisins,Garnish,11,542,Bitter Raisin,1467,raisins,raisins
3052,59.10,ml,"Maple Canadian whisky, SAP56",Whisky,4,543,Bitter Sweet Poison,1159,"maple canadian whisky, sap56","maple canadian whisky, sap56"
3053,14.80,ml,"Herbal liqueur, Green Chartreuse",Liqueur,10,543,Bitter Sweet Poison,957,"herbal liqueur, green chartreuse","herbal liqueur, green chartreuse"
3054,22.20,ml,Lime juice,General,0,543,Bitter Sweet Poison,1118,lime juice,lime juice
3055,14.80,ml,Maple syrup,General,0,543,Bitter Sweet Poison,1160,maple syrup,maple syrup
3056,59.10,ml,"Bitter lemon soda, Great Jamaican (to top)",General,0,543,Bitter Sweet Poison,1670,"bitter lemon soda, great jamaican (to top)",soda
3057,4,dr,"Bitters, Angostura",Garnish,11,543,Bitter Sweet Poison,74,"bitters, angostura",
3058,1,spg,Thyme,Garnish,11,543,Bitter Sweet Poison,1779,thyme,thyme
3059,59.10,ml,Gin,Gin,1,544,Bitter Union,802,gin,gin
3060,14.80,ml,Campari,Liqueur,10,544,Bitter Union,395,campari,campari
3061,14.80,ml,Maraschino Liqueur,Liqueur,10,544,Bitter Union,1162,maraschino liqueur,maraschino liqueur
3062,22.20,ml,Orange juice,General,0,544,Bitter Union,1275,orange juice,orange juice
3063,22.20,ml,Lime juice,General,0,544,Bitter Union,1118,lime juice,lime juice
3064,44.40,ml,"Calvados, Chateau du Breuil",Brandy,5,545,Bitter Winter Night,392,"calvados, chateau du breuil","calvados, chateau du breuil"
3065,22.20,ml,Drambuie,Liqueur,10,545,Bitter Winter Night,696,drambuie,drambuie
3066,14.80,ml,Lemon juice,General,0,545,Bitter Winter Night,1085,lemon juice,lemon juice
3067,1,T,Fernet Branca,Spirits,21,545,Bitter Winter Night,755,fernet branca,fernet branca
3068,29.60,ml,Egg white,General,0,545,Bitter Winter Night,730,egg white,egg
3069,44.40,ml,Jägermeister,Liqueur,10,546,Black Apple Old Fashioned,1044,jägermeister,jägermeister
3070,29.60,ml,Apple Brandy,Brandy,5,546,Black Apple Old Fashioned,86,apple brandy,apple brandy
3071,2,ds,Apple bitters,General,0,546,Black Apple Old Fashioned,85,apple bitters,apple bitters
3072,1,twst,Orange peel,General,0,546,Black Apple Old Fashioned,1289,orange peel,orange peel
3073,44.40,ml,Gin,Gin,1,547,Black Bowtie Gimlet,802,gin,gin
3074,22.20,ml,Lime juice,General,0,547,Black Bowtie Gimlet,1118,lime juice,lime juice
3075,22.20,ml,Simple syrup,General,0,547,Black Bowtie Gimlet,1656,simple syrup,simple syrup
3076,1,ds,"Bitters, Angostura",General,0,547,Black Bowtie Gimlet,73,"bitters, angostura",bitters
3077,1,,"Bitters, Five Watt - Gin Bitters",General,0,547,Black Bowtie Gimlet,245,"bitters, five watt - gin bitters","bitters, five watt - gin bitters"
3078,4,dr,Squid ink,General,0,547,Black Bowtie Gimlet,1698,squid ink,squid ink
3079,2,,Salt Solution (atomized),General,0,547,Black Bowtie Gimlet,1616,salt solution (atomized),salt solution
3080,29.60,ml,Sweet vermouth,Wine,8,548,Black Cherry,1729,sweet vermouth,sweet vermouth
3081,14.80,ml,Rye,Whisky,4,548,Black Cherry,1584,rye,rye
3082,2,t,"Maraschino Liqueur, Luxardo",Liqueur,10,548,Black Cherry,1163,"maraschino liqueur, luxardo","maraschino liqueur, luxardo"
3083,1,rinse,Espresso (FOAM Only),General,0,548,Black Cherry,552,espresso (foam only),
3084,1,ds,"Bitters, Angostura",General,0,548,Black Cherry,73,"bitters, angostura",bitters
3085,22.20,ml,"Light rum, Flor de Caña Dry 4",Rum,2,549,Black Cow,1105,"light rum, flor de caña dry 4","light rum, flor de caña dry 4"
3086,22.20,ml,Bourbon,Whisky,4,549,Black Cow,320,bourbon,bourbon
3087,22.20,ml,Averna,Liqueur,10,549,Black Cow,137,averna,averna
3088,22.20,ml,Milk,General,0,549,Black Cow,1211,milk,milk
3089,7.40,ml,Simple syrup,General,0,549,Black Cow,1656,simple syrup,simple syrup
3090,2,ds,"Cardamom bitters, Fee Brothers",General,0,549,Black Cow,420,"cardamom bitters, fee brothers",cardamom bitters
3091,1,,Brandied cherry,Garnish,11,549,Black Cow,450,brandied cherry,cherry
3092,44.40,ml,"Gin, Plymouth Navy Strength",Gin,1,550,Black Clover Club,852,"gin, plymouth navy strength","gin, plymouth navy strength"
3093,29.60,ml,Lemon juice,General,0,550,Black Clover Club,1085,lemon juice,lemon juice
3094,29.60,ml,Egg white,General,0,550,Black Clover Club,730,egg white,egg
3095,14.80,ml,"Dry vermouth, Dolin",Wine,8,550,Black Clover Club,710,"dry vermouth, dolin","dry vermouth, dolin"
3096,1,T,Blackberry preserves (Bonne Maman),General,0,550,Black Clover Club,265,blackberry preserves (bonne maman),blackberry preserves
3097,59.10,ml,"Bourbon, Elijah Craig",Whisky,4,551,Black Forest Cocktail,328,"bourbon, elijah craig","bourbon, elijah craig"
3098,14.80,ml,"Cherry Liqueur, Rothman and Winter",Liqueur,10,551,Black Forest Cocktail,461,"cherry liqueur, rothman and winter","cherry liqueur, rothman and winter"
3099,7.40,ml,"Allspice Dram, St. Elizabeth",Liqueur,10,551,Black Forest Cocktail,25,"allspice dram, st. elizabeth","allspice dram, st. elizabeth"
3100,2,ds,"Aztec Chocolate bitters, Fee Brothers",General,0,551,Black Forest Cocktail,483,"aztec chocolate bitters, fee brothers",cola
3101,1,twst,Orange peel,Garnish,11,551,Black Forest Cocktail,1290,orange peel,orange peel
3102,29.60,ml,Mezcal,Mezcal,20,552,Black Hyper-Graph,1190,mezcal,mezcal
3103,29.60,ml,Averna,Liqueur,10,552,Black Hyper-Graph,137,averna,averna
3104,14.80,ml,"Amaro Abano, Luxardo",Liqueur,10,552,Black Hyper-Graph,39,"amaro abano, luxardo",amaro abano
3105,14.80,ml,"Fernet, Norseman",General,0,552,Black Hyper-Graph,758,"fernet, norseman","fernet, norseman"
3106,1,twst,Lemon peel,Garnish,11,552,Black Hyper-Graph,1087,lemon peel,lemon peel
3107,59.10,ml,Islay Scotch,Whisky,4,553,Black Francis,1000,islay scotch,islay scotch
3108,22.20,ml,"Sweet vermouth, Carpano Punt e Mes",Wine,8,553,Black Francis,1734,"sweet vermouth, carpano punt e mes","sweet vermouth, carpano punt e mes"
3109,14.80,ml,Pedro Ximénez Sherry,Wine,8,553,Black Francis,1378,pedro ximénez sherry,pedro ximénez sherry
3110,1,twst,Lemon peel,General,0,553,Black Francis,1086,lemon peel,lemon peel
3111,1,,"Cherry, Luxardo",General,0,553,Black Francis,449,"cherry, luxardo",cherry
3112,59.10,ml,"Root liqueur, Art in the Age",Liqueur,10,554,Black Rye,1525,"root liqueur, art in the age","root liqueur, art in the age"
