,ingredient_name,type_string,type_num,cocktail_id,cocktail_name
1378,Passion fruit puree,General,0,889,Haïtiki Grenadia
1229,Passion fruit puree (Unsweetened.),General,0,733,Divorce Papers
180,Passion fruit syrup,General,0,54,O'Hana
1131,"Passion fruit syrup, B.G. Reynolds",General,0,644,Church Bay Cooler
523,"Passion fruit syrup, Monin",General,0,214,SATAMA PUNCH
1914,Passionfruit Liqueur,Liqueur,10,1570,Passionated Passion
2120,Passionfruit Vodka,Vodka,3,2683,Hawthorn Rendezvous
1556,Pastis (optional),General,0,1126,Minnehaha Cocktail
2048,Pastis Liqueur,Liqueur,10,2213,G'Inside Out
708,"Pastis, Herbsaint",Spirits,21,319,Swamp Zombie
879,"Pastis, Pernod",Spirits,21,438,Zombie
345,Peach,General,0,121,Piquant Paloma
991,Peach,Garnish,11,539,Bitter Double ImPeachMint
1630,Peach Bitters,General,0,1161,Nacional Daiquiri
1900,Peach Brandy,Brandy,5,1530,La Peche Attitude
2143,Peach Gin,Gin,1,2822,Sexy Sangria
1948,Peach Juice,General,0,1685,Amore Frizzante
1866,Peach Liqueur,Liqueur,10,1454,Cuban Peach
1569,Peach Schnapps,Liqueur,10,1133,Sex on the Beach
2132,Peach Vodka,Vodka,3,2766,Peach Buck Fizz
639,"Peach bitters, Fee Brothers",General,0,277,Southern Goth
473,"Peach bitters, Fee Brothers Peach",General,0,185,Roberta Black
1399,Peach liqueur,Liqueur,10,912,Hephaestus' Three Hour Tour
1084,"Peach liqueur, Combier",Liqueur,10,615,Captain Anne Bonnie
255,"Peach liqueur, Edmond Briottet",Liqueur,10,80,Pantry Raid
715,"Peach liqueur, Giffard",Liqueur,10,323,Sword at your Ex-Girlfriend's Wedding
1361,"Peach liqueur, Mathilde",Liqueur,10,872,Grand Funk Railroad
1334,"Peach liqueur, Mathilde Pêche",Liqueur,10,846,Georgita
5,"Peach liqueur, Rothman & Winter",Liqueur,10,1,Missionary's Downfall (Don the Beachcomber)
1915,Peanut Butter,General,0,1574,Peanutter Colada
2046,Peanut Liqueur,Liqueur,10,2212,G'immick
2036,Pear,General,0,2113,Argy Bhaji
16,Pear,Garnish,11,2,Mode Pour les Jeunes
1981,Pear Brandy,Brandy,5,1813,Flying Chocolatecovered Pear Martini
1822,Pear Juice,General,0,1381,Autumn-Tini
2017,Pear Puree,General,0,2004,Spring Thyme
2068,Pear Vodka,Vodka,3,2417,Sorriso
186,Pear eau de vie,Brandy,5,57,October's Still Green
832,"Pear eau de vie, Clear Creek",Brandy,5,406,Wicked Games
1482,"Pear eau de vie, St. George",Brandy,5,1017,Lake County Remembered
1340,Pear liqueur,Liqueur,10,854,Ginger Pear Thing
1402,Pear liqueur (Developed with St. George Spiced),Liqueur,10,915,Hey Heywood!
570,Pear liqueur (St. George's Spiced Pear),Liqueur,10,233,Shattered Dreams
1061,"Pear liqueur, Marie Brizard",Liqueur,10,593,Brown Mountain Lights
1119,"Pear liqueur, Mathilde",Liqueur,10,637,Cherry Herring No. 2
1495,"Pear liqueur, Rothman & Winter",Liqueur,10,1035,Leap Day
1152,Pear puree,General,0,663,Companion
603,Pedro Ximénez Sherry,Wine,8,257,Slowly Goes the Night
416,"Pedro Ximénez Sherry, Gonzalez Byass Nectar",Wine,8,153,PX Daiquiri
1479,"Pelinkovac, Maraska",Liqueur,10,1009,The Krsto Mazarović
2131,Pepper Vodka,Vodka,3,2765,PDQ
689,Pepper tincture,General,0,307,Sukkah Hill Spice Box
1365,Pepper tincture (Pink peppercorn),General,0,875,The Grand Bazaar
604,"Pepper tincture, Scrappy's Firewater Tincture",General,0,258,Small But Mighty
2092,Peppercorn,General,0,2556,Bourbon Daddy
1910,Peppermint Liqueur,Liqueur,10,1551,Mint Iced Tea
1762,Peppermint schnapps,Liqueur,10,1315,Hot Peppermint Patty
1818,Pernod,Spirits,21,1379,Astronaut
1597,Pernod / Absinthe,Spirits,21,1142,Beachcomber's Punch
43,Peychaud's Bitters,General,0,8,Montauk (NoMad)
337,Peychaud's Bitters,Garnish,11,118,Pink Eye
2072,Physalis,Garnish,11,2484,X Breeze
2107,Physalis/Gooseberry,Garnish,11,2637,Dutch Stories
287,Pickle,Garnish,11,93,El Pepino
1025,Pickle brine (Ideally salty dutch spear),General,0,567,Bloody Nocturne
1830,Pimento Dram,Liqueur,10,1398,Bitches Brew
566,"Pimento bitters, Dale De Groff",General,0,232,The Shark Lady
324,Pimm's No. 1 Cup,Liqueur,10,111,Pimm's Sour
2006,Pimms,Liqueur,10,1948,PK
1680,Pina Colada,Rum,2,1209,Miami Vice
1815,Pina Colada Mix,General,0,1374,Apple Pina Colada
301,Pine Nuts,General,0,99,Pesto Martini
807,Pine liqueur,Liqueur,10,384,Unusual sour
633,Pineapple,General,0,275,South Park Sling
331,Pineapple,Garnish,11,113,Piña Colada
333,"Pineapple (approx 1"" chunks)",General,0,116,Pineapple Express (Ryan Stevens)
8,Pineapple (diced),General,0,1,Missionary's Downfall (Don the Beachcomber)
1636,Pineapple Frond,Garnish,11,1166,Pearl Diver
332,Pineapple Gum Syrup,General,0,115,Pineapple Death Squad
1567,Pineapple Juice,General,0,1132,Pearl Harbor
1579,Pineapple Spear,Garnish,11,1135,3 Dots and a Dash
2069,Pineapple Syrup,General,0,2447,The Fix
1601,Pineapple Wedge,General,0,1144,Blue Hawaiian
1589,Pineapple Wedge,Garnish,11,1138,Aruba Ariba
1672,Pineapple Wedge / Leaf,Garnish,11,1199,Jungle Bird
248,Pineapple juice,General,0,78,Painmaker
1220,Pineapple juice (Caramelized Pineapple),General,0,719,The Delicious Cobbler
1408,Pineapple juice (Unsweetened),General,0,919,Hikihoho
989,Pineapple rum,Rum,2,535,Big Spender
318,"Pineapple rum, Plantation Stiggins' Fancy",Rum,2,106,Pickwick Club
30,Pineapple syrup,General,0,5,Moko Jumbie
924,Pineapple syrup (Green Pineapple Cordial),General,0,479,Anne Bonny's Last Call
2063,Pink Grapefruit Liqueur,Liqueur,10,2361,Pampluna
2128,Pink Lemonade Vodka,Vodka,3,2728,Martini Pink
1273,Pink grapefruit juice,General,0,793,Finca Vigia
1311,Pink guava puree,General,0,832,G'Vine Blush
1101,Pink guava puree (Or nectar),General,0,627,Castaway
984,"Pinot noir juice, Navarro",General,0,528,Betty White
1829,Pisang Ambon,Liqueur,10,1397,Birdie Nam Nam
297,Pisco,Brandy,5,97,Peruvian Necktie
636,"Pisco, Barsol",Brandy,5,276,Southern Bell
1303,"Pisco, Campo de Encanto",Brandy,5,824,Frézier
1346,"Pisco, Capel",Brandy,5,860,Glowing Green
349,"Pisco, Cesar Italia",Brandy,5,124,Pisco Patio
882,"Pisco, Don César Italia",Brandy,5,441,"1,001 Tiaras"
1169,"Pisco, Kappa",Brandy,5,678,The Count's Swizzle
657,"Pisco, Macchu pisco",Brandy,5,286,Spring Cleaning
950,"Pisco, Porton",Brandy,5,499,The Aves
1280,"Pisco, Tabernero Quebranta",Brandy,5,804,Floral Explosion
2022,Pistachio Liqueur,Liqueur,10,2026,The Universe
2106,Plum,General,0,2636,Drink Me Fruity
1049,Plum eau-de-vie,General,0,586,Bramble Bee
1377,Poire William,Brandy,5,889,Haïtiki Grenadia
1450,"Poitín, Glendalough Mountain Strength",Spirits,21,974,The Italian Lesson
1986,Pomegranate,Garnish,11,1819,Forever Young
1769,Pomegranate Juice,General,0,1321,Pomegranate Mezcal Margarita
1913,Pomegranate Liqueur,Liqueur,10,1568,PAMA Daiquiri
250,"Pomegranate Liqueur, Pama",Liqueur,10,79,Pamalagro Crusta
1977,Pomegranate Schnapps,Liqueur,10,1799,Effen Holiday Cheer
2119,Pomegranate Vodka,Vodka,3,2681,Harvest Moon
423,Pomegranate juice,General,0,160,Raspberry Punch
1294,"Pomegranate molasses, Alwadi (no added sugar)",General,0,812,Fool's Gold
251,Pomegranate peel,Garnish,11,79,Pamalagro Crusta
1372,Pomegranate seeds,Garnish,11,880,Grenados Sour
951,Ponzu,General,0,499,The Aves
2065,Poppy Liqueur,Liqueur,10,2380,Poppy Blush
754,"Poppy liqueur, Greenbar Grand Poppy",Liqueur,10,345,Thyme Machine
596,Port,Wine,8,250,Siren of the Tropics
392,Port (Tawny or Ruby),Wine,8,141,Preceptor
1890,Port Wine,Wine,8,1500,Good Tidings Punch
1692,Postage Stamp,Garnish,11,1216,Air Mail
733,Prosecco,Wine,8,335,Thanksgiving Apéro
1937,Pucker Berry Fusion Schnapps,Liqueur,10,1653,Wildberry Mojito
1960,Pucker Island Punch Schnapps,Liqueur,10,1727,Blue Velvet
1592,Puerto Rican Rum,Rum,2,1140,Banana Daiquiri
878,Puerto Rican Rum (gold),Rum,2,438,Zombie
32,"Puerto Rican Rum, Bacardi",Rum,2,6,El Momento Perfecto
2070,Pumpkin Liqueur,Liqueur,10,2449,The Gin O' Lantern
846,Pumpkin Seasonal Spirit,Spirits,21,417,Witch Hazel
1674,Punt e Mes Italian Vermouth,Wine,8,1201,Red Hook
1540,Pussanga,Liqueur,10,1109,Melody
1637,Pusser's Rum,Rum,2,1168,Pusser's Painkiller ™
954,Quail egg (Whole and Raw),General,0,499,The Aves
1689,Quarter Orange Slice,Garnish,11,1213,Mimosa
2137,Quince Syrup,General,0,2793,Quince and Honey Fizz
1445,Radish,Garnish,11,969,"It's a Rad, Rad, Rad, Rad World"
680,Raicilla,Spirits,21,303,Street Corn Cocktail
997,Raisins,Garnish,11,542,Bitter Raisin
419,Ramazzotti,Liqueur,10,158,Ragtime
1622,Raspberry,Garnish,11,1155,Knickerbocker
462,Raspberry,General,0,181,Rhymer Reason
2042,Raspberry Gomme,General,0,2175,Dont Thistle My Pink
2037,Raspberry Juice,General,0,2125,Black Rider
460,"Raspberry Limoncello, CelloVia",Liqueur,10,181,Rhymer Reason
1855,Raspberry Liqueur,Liqueur,10,1435,Chamborlada
2138,Raspberry Rum,Rum,2,2798,Razzonia
1920,Raspberry Schnapps,Liqueur,10,1595,Raspberry Pina Colada
1620,Raspberry Syrup,General,0,1155,Knickerbocker
1870,Raspberry Vodka,Vodka,3,1462,Devil's Tail
539,Raspberry liqueur,Liqueur,10,220,Scotch Flirting
113,Raspberry syrup,General,0,29,Negroni Club
1135,Red Bell Pepper,General,0,645,CINCO DE MAYO
635,Red Bell Pepper (Diced),General,0,276,Southern Bell
196,Red Birch Beer,Beer,7,60,Old Dutchman
2050,Red Currant,Garnish,11,2213,G'Inside Out
1973,Red Currant,General,0,1786,Disaronno Breeze
2078,Red Currant Syrup,General,0,2516,Artist's Special
1717,Red Wine,Wine,8,1256,New York Sour
129,Red wine,Wine,8,34,New York Stone Sour
1423,Red wine (Sweet),Wine,8,940,Hot Frenchman
1370,"Red wine, Malbec (Amalaya Malbec)",Wine,8,877,Grapes of Wrath
340,"Red wine, Manischewitz (Manischewitz syrup)",Wine,8,120,Pink Yente
1878,Redcurrant,Garnish,11,1482,"Pineapple, Redcurrant, Orange"
181,Reposado Tequila,Tequila,6,55,Oaxacan Dream
567,Reposado Tequila (Arette),Tequila,6,233,Shattered Dreams
1551,Reposado Tequila (El Mayor),Tequila,6,1122,The Midnight Tryst
615,"Reposado Tequila, Chinaco",Tequila,6,262,Smoked Margarita
1489,"Reposado Tequila, El Jimador Reposado",Tequila,6,1026,The Last Mariachi
508,"Reposado Tequila, Espolon Reposado",Tequila,6,206,Le Saint Esprit (The Holy Spirit)
270,"Reposado Tequila, Roca Patrón",Tequila,6,85,The Pastry War Cocktail
454,Rhubarb,General,0,178,Rhubarb and Roses
1568,Rhubarb Bitters,General,0,1132,Pearl Harbor
2064,Rhubarb Gomme,General,0,2380,Poppy Blush
1463,Rhubarb Syrup,General,0,985,Jasmine Teatotaler
453,Rhubarb bitters,General,0,178,Rhubarb and Roses
1512,"Rhubarb bitters, Brooklyn Hemispherical Bitters Rhubarb",General,0,1067,Los Amorosos
457,"Rhubarb bitters, Fee Brothers",General,0,180,Rhuld-Fashioned
450,"Rhubarb bitters, Fee Brothers Rhubarb",General,0,177,Rhubarb and Rye
455,Rhubarb liqueur,Liqueur,10,179,Rhuby Franc
983,"Rhubarb liqueur, Art in the Age",Liqueur,10,528,Betty White
452,Rhubarb syrup,General,0,178,Rhubarb and Roses
368,Rhum Agricole,Rum,2,130,Plenaire
268,Rhum Agricole (Blanc),Rum,2,84,Patois
1376,Rhum Agricole (Clairin),Rum,2,889,Haïtiki Grenadia
65,Rhum Agricole (JM Blanc),Rum,2,14,Mount Pelée
1203,Rhum Agricole (Rhum JM Blanc),Rum,2,699,Dakkar Grotto
1170,"Rhum Agricole, Barbancourt 8",Rum,2,679,Creme de No Swizzle
1455,"Rhum Agricole, Clément VSOP",Rum,2,980,Jakarta Mai Tai
415,"Rhum Agricole, Damoiseau Blanc",Rum,2,153,PX Daiquiri
1347,"Rhum Agricole, Neisson Élevé Sous Bois",Rum,2,862,Golden Dahlia
275,"Rhum Agricole, Rhum Agricole JM VSOP",Rum,2,86,The Peace Cocktail
1524,"Rhum Agricole, St. James Ambre",Rum,2,1080,Mai Tai (Trader Vic's)
932,Rich demerara syrup,General,0,483,Apple of My Rye
1641,Rich simple syrup,General,0,1173,Strawberry Daiquiri
88,Rich simple syrup 2:1,General,0,19,Nacho Sour
339,Rich simple syrup 2:1 (grapefruit and bay-leaf infused),General,0,119,Pink Sprig
259,Rich simple syrup 2:1 (optional),General,0,81,Papa's Punch
770,Rich simple syrup 2:1 (syrup from jarred candied chestnuts),General,0,355,Tony Chestnut
1215,Rich simple syrup 2:1 (turbinado or demerara),General,0,712,The Deaf
2095,Rock Candy Syrup,General,0,2570,Caipirinha Sangria
2010,Rock and Rye,Liqueur,10,1966,Rock and Rye Cooler
953,Roe (Tobiko),General,0,499,The Aves
1929,Root Beer Vodka,Vodka,3,1627,Spiked Milkshake
478,Root liqueur,Liqueur,10,188,Root Beer Barrel
439,"Root liqueur, Art in the Age",Liqueur,10,172,The Reiley Ridge
925,"Rosato Vermouth, Martini & Rossi",Wine,8,480,Antihero
1396,"Rosato Vermouth, Martini & Rossi (Fiero)",Wine,8,909,Hemingway stirred nonsense
1820,Rose,Garnish,11,1380,"Rose, Strawberry"
2035,Rose Nectar,General,0,2109,Apple Spice
482,Rose liqueur,Liqueur,10,190,Rosy Papa
1321,"Rose liqueur, Combier",Liqueur,10,836,Gallflower
1415,Rose petal,Garnish,11,924,Holloway
1427,Rose vermouth (broVo Pink),Wine,8,944,Hula Skirt Negroni
1284,Rose water,General,0,806,Flower Tart
1112,Rose water,Garnish,11,632,Champagne Year
707,"Rose water, Fee Brothers",General,0,318,Surfer Rosa Obscura
1950,Rose's Apricot Cordial,Spirits,21,1692,Apricot Kiss
1879,Rose's Blue Curacao,General,0,1486,Frozen Blue Daiquiri
1837,Rose's Blueberry Cordial,Spirits,21,1407,Blueberry Mojito Rose
1997,Rose's Lemon,General,0,1865,Kamikaze
1838,Rose's Lime Cordial,Spirits,21,1407,Blueberry Mojito Rose
1836,Rose's Mojito Cordial,Spirits,21,1407,Blueberry Mojito Rose
1930,Rose's Strawberry Cordial,Spirits,21,1628,Strawberry Colada
1998,Rose's Triple Sec,Liqueur,10,1865,Kamikaze
101,Rosemary,Garnish,11,23,Navy Fizz
187,Rosemary,General,0,57,October's Still Green
480,Rosemary (for service),General,0,189,Rosemary's Bambino
510,Ruby Port,Wine,8,208,Saint Valentine
381,"Ruby Port, Dow's",Wine,8,136,Port of Haifa
1619,Rum,Rum,2,1155,Knickerbocker
712,Rum (Barbados preferably),Rum,2,322,Swine & Roses
1270,Rum (Barbancourt 8),Rum,2,788,Fiji Mermaid
966,Rum (Brown butter washed),Rum,2,511,Bark at the Moon
1103,Rum (Plantation OFTD),Rum,2,628,Caveat Emptor
1159,Rum (Whiskey Barrel aged),Rum,2,669,"Cordial Magnitude, officially."
986,Rum (White Overproof Jamaican),Rum,2,531,Between the Devil and the Deep Blue Sea
1267,"Rum Cream, RumChata",Rum,2,786,FernChata
834,"Rum, Appleton Estate V/X",Rum,2,408,Wilke Paradiso
755,"Rum, Appleton Reserve",Rum,2,346,Tia Mia
663,"Rum, Bacardi",Rum,2,292,Stay Gold
188,"Rum, Bacardi 8",Rum,2,58,Ocho Maneras
554,"Rum, Banks",Rum,2,229,Shaka
227,"Rum, Banks 5 Island",Rum,2,71,Original Cinn
929,"Rum, Banks 7",Rum,2,482,Antigua Plaza
1230,"Rum, Barbancourt 8",Rum,2,734,Doctor of Journalism
968,"Rum, Cruzan Aged Dark",Rum,2,513,Bastard Orphan
511,"Rum, El Dorado 12",Rum,2,209,Salers Delight
1310,"Rum, Flor de Caña",Rum,2,830,Full Metal Jacket
693,"Rum, Flor de Caña 12 year",Rum,2,311,Summer Stalk
1176,"Rum, Havana Club 7",Rum,2,682,The Crusher
644,"Rum, Lemon Hart 151",Rum,2,280,Space Ape
507,"Rum, Mount Gay (Eclipse)",Rum,2,206,Le Saint Esprit (The Holy Spirit)
1554,"Rum, Plantation (Barbados 2000)",Rum,2,1125,Millennial Pink
1088,"Rum, Plantation Stiggins' Fancy",Rum,2,620,Carmen Miranda
1200,"Rum, Privateer",Rum,2,697,Daiquiri-73
499,"Rum, Pusser's",Rum,2,202,Sabre
562,"Rum, Pusser's (Gunpowder)",Rum,2,232,The Shark Lady
257,"Rum, Smith & Cross",Rum,2,81,Papa's Punch
1557,"Rum, Smith & Cross (As float)",Rum,2,1128,Miramar
1352,"Rum, Zaya",Rum,2,864,The Golden Pearl
22,Rye,Whisky,4,4,"Mockingbird, Wish Me Luck"
1060,Rye (Rittenhouse Bonded),Whisky,4,591,Broadway Nights
687,"Rye (Rittenhouse Bonded, Knob Creek 101)",Whisky,4,307,Sukkah Hill Spice Box
869,Rye (high proof),Whisky,4,433,You're a Fine Girl
906,Rye (jefferson 10 yr),Whisky,4,463,Agnostic Monk
823,Rye (or Bourbon),Whisky,4,401,Ward Eight
449,Rye (preferably overproof),Whisky,4,177,Rhubarb and Rye
1639,Rye Whiskey,Whisky,4,1170,Rye Tai
279,"Rye, Bulleit",Whisky,4,88,Pearl Handle Gun
1093,"Rye, Dad's Hat",Whisky,4,623,Carrie's Book Club
778,"Rye, George Dickel",Whisky,4,362,Trainspotter
316,"Rye, High West Double Rye",Whisky,4,105,Picasso in a Glass
1076,"Rye, Jim Beam",Whisky,4,602,C'est La Vie
710,"Rye, Knob Creek",Whisky,4,321,Swee' Pea
400,"Rye, Old Overholt",Whisky,4,147,Prosecutor
1521,"Rye, Pow Wow Botanical Rye",Whisky,4,1078,Madison's Revenge
551,"Rye, Redemption",Whisky,4,226,Sentimental Fool
158,"Rye, Rittenhouse",Whisky,4,46,Notte Bene Sour
142,"Rye, Rittenhouse 100",Whisky,4,39,Night Ranger
919,"Rye, Templeton Rye",Whisky,4,478,...and Antarctica
207,"Rye, Wild Turkey",Whisky,4,64,On the Night You Were Born
640,"Rye, Wild Turkey 101",Whisky,4,278,Southland
685,Saffron syrup (Royal Rose),General,0,306,Suicide Strawberry Blonde
184,Sage,General,0,56,Oaxacan Smash
185,Sage,Garnish,11,56,Oaxacan Smash
382,Sage (muddled),General,0,136,Port of Haifa
1784,Sage Leaves,General,0,1337,Wise Oaxacan Mule
1785,Sage Sprig,Garnish,11,1337,Wise Oaxacan Mule
1903,Sago,General,0,1532,Lady Midori
216,Sake,General,0,66,Opium
1233,"Sake, Sho Chiku Bai (Nigori)",General,0,735,Domo Arigato Mr. Roboto
512,Salers Gentiane,Liqueur,10,209,Salers Delight
1791,Saline / Salt,General,0,1346,Los Zelda
711,Salt,General,0,321,Swee' Pea
1315,Salt,Garnish,11,833,Gabriella
618,Salt (Applewood Smoked),General,0,262,Smoked Margarita
476,Salt (Heavy pinches),General,0,186,Roca Alexander
1226,Salt (or 2-5 drops of a 1:4 saline solution),General,0,727,Diamonds & Spades
1175,Salt (or 3-5 drop 1:4 saline),General,0,680,Creolita
727,Salt (or 4 drops saline solution),General,0,330,TBD (Thai Basil Daiquiri)
1040,Salt (or Saline solution),General,0,578,Border Patrol
190,Salt Solution,General,0,58,Ocho Maneras
1366,Salt Solution (10:1 solution),General,0,875,The Grand Bazaar
1016,Salt Solution (1:4),General,0,557,The Black Stallion Sets Sail
1097,Salt Solution (Or a tiny pinch salt),General,0,625,Casa Samba
1003,Salt Solution (atomized),General,0,547,Black Bowtie Gimlet
1646,Salt rim (optional),Garnish,11,1176,The Batanga
1912,Sambuca,Liqueur,10,1559,Molinari Orange
122,Sanbitter,General,0,32,Negroni Sans
2113,Scallion,General,0,2659,Gazpacho Cocktail
123,Scotch,Whisky,4,33,New Nails
885,Scotch (Compass Box's Great King Street),Whisky,4,443,3:20 in the Morning
1498,Scotch (Cutty Sark Prohibition),Whisky,4,1042,Letter to a Younger Self
502,Scotch (Laphroaig 10 Year),Whisky,4,203,Sacred Monkey Forest
2005,Scotch Whiskey,Whisky,4,1935,One Smoky Martini
1012,"Scotch, Auchentoshan 3 Wood",Whisky,4,555,Black Scott
1212,"Scotch, Balvenie 12 Doublewood",Whisky,4,710,De Rigueur 2
638,"Scotch, Bank Note",Whisky,4,277,Southern Goth
1072,"Scotch, Compass Box Peat Monster",Whisky,4,600,"Butter, Lemon, Smoke"
734,"Scotch, Famous Grouse",Whisky,4,336,That'll Take the Edge Off
1384,"Scotch, Glenmorangie",Whisky,4,892,Halls of Power
1295,"Scotch, Highland Park 12",Whisky,4,813,For All Of Us
1410,"Scotch, Johnnie Walker Black Label",Whisky,4,920,Hitch-22
1211,"Scotch, Lagavulin 16",Whisky,4,710,De Rigueur 2
1488,"Scotch, Laphroaig",Whisky,4,1024,The Last Laph
37,"Scotch, Monkey Shoulder",Whisky,4,7,A Monkey In Winter
1686,Scrappy's Firewater Tincture,General,0,1211,Bloody Mary
363,"Sea Buckthorn liqueur, Distillerie de Biercée",Liqueur,10,128,La Plante de la Lune (Plant of the Moon)
632,Sea salt,General,0,272,Sonic Titan
1086,Sea salt caramel syrup (Sonoma Syrup Co.),General,0,617,Caramel By The Sea
377,Seltzer water,General,0,134,Pompelmo
1023,Seltzer water (to taste),General,0,566,Bloody American
1367,Seltzer water (to top),General,0,875,The Grand Bazaar
2032,Sencha Tea Syrup,General,0,2088,2475
220,Serrano (raw),General,0,67,The Option Clause
1632,"Serrano Cocktail Spice, By Drinks World",General,0,1163,Palomar
2014,Sesame Seeds,Garnish,11,1973,Saigon Smoothy
2013,Sesame Seeds,General,0,1973,Saigon Smoothy
1355,Sesame oil,General,0,867,Gomá
1876,Sherry,Wine,8,1482,Fogcutter
208,"Sherry, Lustau",Wine,8,64,On the Night You Were Born
1130,"Sherry, Lustau Dry Amontillado",Wine,8,644,Church Bay Cooler
769,"Sherry, Lustau East India Solera",Wine,8,355,Tony Chestnut
1419,"Sherry, Lustau Manzanilla",Wine,8,933,Hop Springs Eternal
1077,"Sherry, Lustau Pedro Ximenez",Wine,8,602,C'est La Vie
648,"Sherry, Lustau Pedro Ximenez (Float)",Wine,8,281,Spanish Conquistador
97,Shiso (muddled),General,0,21,The Narcissist
1353,Shochu,General,0,867,Gomá
576,Shochu (iichiko special barley shochu),General,0,238,Shochu sour
1462,Shochu (iichiko special),General,0,984,Japanese reviver
13,Simple syrup,General,0,2,Mode Pour les Jeunes
1037,Simple syrup (*dhansak masala infused),General,0,576,Bonjour Farrokh
1446,Simple syrup (1-1),General,0,970,"It's Green, So it Must be Good For You"
155,Simple syrup (1:1),General,0,44,Norwegian Plum
397,Simple syrup (2:1),General,0,145,Price of Rum
1351,Simple syrup (Basil infused),General,0,863,Golden Sour
173,Simple syrup (Blank Slate Black Pepper Rich Simple Syrup),General,0,51,Number 6
1028,"Simple syrup (Blueberry Wine Syrup, Recipe Below)",Wine,8,568,Blue Monday
917,Simple syrup (Coca Cola syrup),General,0,474,Amaro Paisano
1058,Simple syrup (Cucumber syrup),General,0,590,British Buck
1257,Simple syrup (Eucalyptus),General,0,768,Eucalyptus Martini
1535,Simple syrup (Massaman),General,0,1099,Massa[man]hattan
1018,Simple syrup (Pear Syrup),General,0,559,Black Stag
367,Simple syrup (Spiced Chipotle),General,0,129,Plantation Fever
1379,Simple syrup (Sugar canne),General,0,889,Haïtiki Grenadia
1484,Simple syrup (Turbinado),General,0,1018,Lambic Pentameter
284,Simple syrup (arbol-chili-infused),General,0,92,Pepper Upper
875,Simple syrup (black tea infused),General,0,436,Yunnan Old Fashioned
1193,Simple syrup (curry-leaf infused),General,0,690,Curried Away
553,Simple syrup (gingerbread syrup),General,0,227,Sensei
1078,Simple syrup (infused with 15 basil leaves),General,0,603,Caesarea Cocktail
1185,Simple syrup (infused with rosemary),General,0,687,Cucumberous
928,Simple syrup (tangerine infused),General,0,481,The Antioxidant
1354,Simple syrup (wakame leaves),General,0,867,Gomá
1341,Simple syrup (with black tea & anise),General,0,855,Ginger Rabbit
1045,Singani (or Pisco),Brandy,5,585,Brandy & Bubbles (Shoofly)
746,"Singani, Singani 63",Brandy,5,340,Thursday's Child
1675,Single Malt Scotch (12 Year),Whisky,4,1202,Sin Cyn
1783,Sink hulled lime into drink; add mint sprig,Garnish,11,1335,Mai Tai
1775,Slice of Apple,Garnish,11,1326,Stone Wall
481,Slivovitz,Brandy,5,190,Rosy Papa
1898,Sloe Gin,Gin,1,1521,Irish Shillelagh
299,Sloe gin,Gin,1,98,Perverted by Language
605,Sloe gin (Hayman's),Gin,1,259,Slow Reader
613,"Sloe gin, Plymouth",Gin,1,261,Smoked Cherry Sling
383,Smoke (Bourbon-soaked sawdust),Whisky,4,136,Port of Haifa
1383,Smoked Salt,General,0,891,Hallowed Tea Thy Name
534,Smoked Salt (Yakima Applewood),General,0,217,Saveur Kiss
1043,Smooth Ambler Barrel Aged Gin,Gin,1,583,Br'er Rabbit
2076,Soda,General,0,2492,4th Avenue Sour
1971,Soda (Fentiman's Curiosity Cola),General,0,1781,Curious Concoction
1671,Soda Water,General,0,1198,Jeez Louis
49,Soda water,General,0,9,The Monte Press
1452,"Soda water (In glass, not in shake)",General,0,975,Italian Stallion
720,"Soda water (In glass, not shake)",General,0,326,Take on Me
1223,"Soda water (In glass, not shake.)",General,0,722,Derby Cup
119,Soda water (Not included in the shake),General,0,31,Negroni Grog
102,Soda water (to top),General,0,23,Navy Fizz
1335,"Soda water, Dr. Brown's Cel-Ray",General,0,850,Gin-Cel-Ray
1438,"Soda water, Malta India Molasses",General,0,959,Infinity Is A Shark
2003,Sorbet,General,0,1929,Nudiepolitan
650,Sorel liqueur,Liqueur,10,282,The Spice Channel
306,Sotol,Spirits,21,101,Phantastic Voyage
1810,Sour Mix,General,0,1365,Adios Mother Iced Tea
677,Sour cherry syrup,General,0,299,La Strada
1565,Sour mix,General,0,1131,Midori Sour
1571,Southern Comfort,Whisky,4,1134,Slow Comfortable Screw
1989,Soy Sauce,General,0,1834,Ginza Mary
159,Spanish brandy,Brandy,5,46,Notte Bene Sour
1177,Spanish brandy (Fernando de Castilla),Brandy,5,682,The Crusher
1842,Sparkling Wine,Wine,8,1412,Buddha Punch
1513,Sparkling rosé wine,Wine,8,1067,Los Amorosos
1448,Sparkling water,General,0,970,"It's Green, So it Must be Good For You"
785,Sparkling white wine,Wine,8,365,Treble Green
1629,Spent Lime,Garnish,11,1160,Mezcal Mai Tai
1063,Speyside Scotch (Glen Moray Port Cask Finished),Whisky,4,594,Bruceland Sour
1487,"Speyside Scotch, Glenfiddich",Whisky,4,1022,The Last Gentleman
1017,"Speyside Scotch, Glenfiddich (12 Year)",Whisky,4,559,Black Stag
538,"Speyside Scotch, Glenfiddich 18",Whisky,4,220,Scotch Flirting
773,"Speyside Scotch, Macallan 12",Whisky,4,356,Tooth & Nail
909,"Speyside Scotch, Macallan 12 (Double Cask)",Whisky,4,465,All American Autumn
