,name,img,ingredients,recipe,garnish,glass,url
649,French Martini 1,http://www.completecocktails.com/img/d/l/FrenchMartini.jpg,"[{'amount': '3/4', 'unit': 'oz', 'name': 'Raspberry Schnapps (DeKuyper Razzmatazz)'}, {'amount': '1-1/4', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1', 'unit': 'oz', 'name': 'Pineapple Juice'}]",Shake all ingredients with ice in a cocktail shaker. Strain into a chilled cocktail glass. ,[],Cocktail Glass,http://www.completecocktails.com/Drinks/FrenchMartini1.aspx#.ZAYM5XZByUk
650,Frescura,http://www.completecocktails.com/img/g/l/HighballGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Coconut Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Cranberry Liqueur'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Parfait Amour'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': 'null', 'unit': 'null', 'name': 'Club Soda - to fill'}, {'amount': 'null', 'unit': 'sprig', 'name': 'Mint'}, {'amount': 'null', 'unit': 'slice', 'name': 'Lemon'}, {'amount': 'null', 'unit': 'null', 'name': 'Cherry'}]","Shake vodka, coconut rum, cranberry liqueur, Parfait Amour and lime juice with ice in a cocktail shaker. Strain into a highball glass packed full of crushed ice. Fill with club soda and stir gently. Garnish with mint, maraschino cherry and lemon. ","['Lemon', ' Mint', ' Maraschino Cherry']",Highball Glass,http://www.completecocktails.com/Drinks/Frescura.aspx#.ZAYM6nZByUk
651,Fuzzy Navel,http://www.completecocktails.com/img/d/l/FuzzyNavel.jpg,"[{'amount': '1', 'unit': 'oz', 'name': 'Peach Schnapps (DeKuyper Peachtree)'}, {'amount': '1', 'unit': 'oz', 'name': 'Vodka'}, {'amount': 'null', 'unit': 'null', 'name': 'Orange Juice'}]","Fill a highball glass with ice. Add peach schnapps, vodka and fill with orange juice. Stir and serve to your bikini-clad guests. ",[],Highball Glass,http://www.completecocktails.com/Drinks/FuzzyNavel.aspx#.ZAYM7nZByUk
652,Gaelic Mudslide,http://www.completecocktails.com/img/d/l/GaelicMudslide.jpg,"[{'amount': '2', 'unit': 'oz', 'name': ""Irish Cream (Bailey's)""}, {'amount': '1/2', 'unit': 'oz', 'name': 'Vodka (Smirnoff)'}, {'amount': '1/2', 'unit': 'cup', 'name': 'Ice - crushed'}, {'amount': 'null', 'unit': 'null', 'name': 'Chocolate Syrup'}]","Blend the Irish cream, vodka and crushed ice in a blender until smooth. Swirl the chocolate syrup in a chilled cocktail glass, then pour the drink in. Garnish with maraschino cherries. ",['Maraschino Cherry'],Cocktail Glass,http://www.completecocktails.com/Drinks/GaelicMudslide.aspx#.ZAYM8nZByUk
653,Garden Flight No 1,http://www.completecocktails.com/img/d/l/GardenFlightNo1.jpg,"[{'amount': '1/2', 'unit': 'oz', 'name': 'Tequila - Gold (Patron Anejo)'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Tomato Juice'}]",Wet the rim of a shot glass then dip it into a mixture of tomato powder and salt. Shake all ingredients with ice and strain it into the glass. ,[],Shot Glass,http://www.completecocktails.com/Drinks/GardenFlightNo1.aspx#.ZAYM9nZByUk
654,Garden Flight No 3,http://www.completecocktails.com/img/d/l/GardenFlightNo3.jpg,"[{'amount': '1/2', 'unit': 'oz', 'name': 'Tequila - Gold (Patron Reposado)'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Apple Juice'}]",Shake all ingredients with ice in a cocktail shaker. Strain into a chilled shot glass. ,[],Shot Glass,http://www.completecocktails.com/Drinks/GardenFlightNo3.aspx#.ZAYM-nZByUk
655,Genoa Vodka,http://www.completecocktails.com/img/g/l/RocksGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Campari'}, {'amount': '1-1/2', 'unit': 'oz', 'name': 'Orange Juice'}, {'amount': 'null', 'unit': 'wedge', 'name': 'Orange'}]","Shake vodka, Campari and orange juice with ice in a cocktail shaker. Strain into a rocks glass full of ice. Garnish with an orange wedge. ",['Orange'],Rocks Glass,http://www.completecocktails.com/Drinks/GenoaVodka.aspx#.ZAYM_3ZByUk
656,Gentle Ben,http://www.completecocktails.com/img/g/l/HighballGlass.png,"[{'amount': '2', 'unit': 'oz', 'name': 'Tequila - Silver'}, {'amount': '1', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1', 'unit': 'oz', 'name': 'Gin'}, {'amount': '4', 'unit': 'oz', 'name': 'Orange Juice'}, {'amount': '1', 'unit': 'tsp', 'name': 'Sloe Gin'}, {'amount': '1', 'unit': 'slice', 'name': 'Orange'}]","Shake tequila, vodka, gin and orange juice with ice in a cocktail shaker. Strain into a chilled highball glass. Float sloe gin on top, and garnish with an orange slice. ",['Orange'],Highball Glass,http://www.completecocktails.com/Drinks/GentleBen.aspx#.ZAYNA3ZByUk
657,Georgia Peach,http://www.completecocktails.com/img/g/l/HighballGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Peach Brandy'}, {'amount': '1', 'unit': 'tsp', 'name': 'Lemon Juice'}, {'amount': '1', 'unit': 'tsp', 'name': 'Peach Preserves'}, {'amount': '1/4', 'unit': 'null', 'name': 'Peach - chopped'}, {'amount': '1', 'unit': 'cup', 'name': 'Ice - crushed'}, {'amount': 'null', 'unit': 'null', 'name': 'Mint'}]","Blend all ingredients until smooth in a blender or food processor. Pour into a chilled highball glass. Garnish with a small peach wedge and fresh mint, if desired. ","['Peach', ' Mint']",Highball Glass,http://www.completecocktails.com/Drinks/GeorgiaPeach.aspx#.ZAYNB3ZByUk
658,Ginger Fire and Ice,http://www.completecocktails.com/img/g/l/RocksGlass.png,"[{'amount': '2', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': 'null', 'unit': 'splash', 'name': 'Passion Fruit Syrup'}, {'amount': 'null', 'unit': 'null', 'name': ""Ginger Beer (Fentiman's)""}, {'amount': '1', 'unit': 'slice', 'name': 'Lime'}]","Fill a rocks glass with ice. Shake vodka, lime juice and passion fruit syrup with ice in a cocktail shaker, then strain into the glass. Top with Fentiman's ginger beer and garnish with a lime slice. ",['Lime'],Rocks Glass,http://www.completecocktails.com/Drinks/GingerFireandIce.aspx#.ZAYNDHZByUk
