,Unnamed: 0,name,img,ingredients,recipe,garnish,flavor,url,glass,content,rating,alcohol
3457,27,Stiletta,https://cdn.diffords.com/contrib/stock-images/2023/02/63e6219ba0a0a.jpg,"[{'name': 'Star anise', 'amount': '1', 'unit': 'dried'}, {'name': 'Italian red bitter liqueur', 'amount': '30', 'unit': 'ml'}, {'name': 'Patrón Silver blanco tequila', 'amount': '45', 'unit': 'ml'}, {'name': 'Antica Formula or other well aged sweet vermouth', 'amount': '30', 'unit': 'ml'}]","MUDDLE (smash) a star anise in base of stirring glass. Add other ingredients, STIR with ice and extra fine strain into chilled glass.

OR Omit the muddled star anise and instead pre-prepare Star anise-infused Italian red bitter liqueur by infusing 18-20 star anise pods into a 70-75cl bottle. Seal and shake periodically over 8 hours, then strain through a dampened coffee filter or cheesecloth.",Float star anise,Gentle/Boozy:8&Sweet/Dry&Sour:7,https://www.diffordsguide.com/cocktails/recipe/16618/stiletta,Coupe glass,Negroni-like with tequila rather than gin and a touch of star anise spice.,4.5,23.62% alc./vol. (47.24° proof)
3458,28,Green Eyes No.2,https://cdn.diffords.com/contrib/stock-images/2023/02/63e6232d85e67.jpg,"[{'name': 'Rutte Dry Gin', 'amount': '45', 'unit': 'ml'}, {'name': 'Lime juice (freshly squeezed)', 'amount': '22.5', 'unit': 'ml'}, {'name': 'Green Chartreuse liqueur', 'amount': '22.5', 'unit': 'ml'}, {'name': ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'amount': '15', 'unit': 'ml'}, {'name': 'Pasteurised egg white (or aquafaba)', 'amount': '15', 'unit': 'ml'}]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,Lime slice and Luxardo Maraschino cherry sail,Gentle/Boozy:8&Sweet/Dry&Sour:6,https://www.diffordsguide.com/cocktails/recipe/16567/green-eyes-no2,Double old-fashioned,Reminiscent of a Last Word sour.,4.5,21.32% alc./vol. (42.64° proof)
3459,29,Wallick,https://cdn.diffords.com/contrib/stock-images/2023/02/63e6249b698f1.jpg,"[{'name': 'Rutte Dry Gin', 'amount': '45', 'unit': 'ml'}, {'name': 'Martini Extra Dry vermouth', 'amount': '45', 'unit': 'ml'}, {'name': 'Orange Curaçao liqueur', 'amount': '5', 'unit': 'ml'}]",STIR all ingredients with ice and strain into chilled glass.,Orange zest twist,Gentle/Boozy:8&Sweet/Dry&Sour:7,https://www.diffordsguide.com/cocktails/recipe/16421/wallick,Coupe glass,An orange curaçao-influenced Fifty-Fifty Martini.,4.5,25.07% alc./vol. (50.14° proof)
3460,30,Bottoms Up,https://cdn.diffords.com/contrib/stock-images/2023/02/63e620d056509.jpg,"[{'name': 'Rémy Martin 1738 Cognac', 'amount': '40', 'unit': 'ml'}, {'name': 'Orange Curaçao liqueur', 'amount': '20', 'unit': 'ml'}, {'name': 'Giffard Grenadine syrup', 'amount': '5', 'unit': 'ml'}, {'name': 'Double cream / heavy cream', 'amount': '5', 'unit': 'ml'}, {'name': 'Egg yolk', 'amount': '1', 'unit': 'fresh'}]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange zest twist,Gentle/Boozy:7&Sweet/Dry&Sour:6,https://www.diffordsguide.com/cocktails/recipe/16593/bottoms-up,Coupe glass,A brandy-laced meal with zesty orange cutting through the heaviness of cream.,4.0,27.65% alc./vol. (55.3° proof)
3461,31,Milady's Martini,https://cdn.diffords.com/contrib/stock-images/2023/02/63e6235d09fee.jpg,"[{'name': 'Rutte Dry Gin', 'amount': '45', 'unit': 'ml'}, {'name': 'Rosato/rosé vermouth', 'amount': '22.5', 'unit': 'ml'}, {'name': 'Fino sherry', 'amount': '22.5', 'unit': 'ml'}, {'name': 'Amaro Santoni', 'amount': '2.5', 'unit': 'ml'}]",STIR all ingredients with ice and strain into chilled glass.,Skewered black olive (at Milady's the olive is purple),Gentle/Boozy:9&Sweet/Dry&Sour:7,https://www.diffordsguide.com/cocktails/recipe/16568/miladys-martini,Nick & Nora glass,Rosé vermouth contributes almost floral notes to this rosé vermouth and fino sherry-influenced Fifty-Fifty Martini with a splash of amaro adding a touch,4.5,24.28% alc./vol. (48.56° proof)
3462,32,Crown Heights Negroni,https://cdn.diffords.com/contrib/stock-images/2023/02/63e623001bab8.jpg,"[{'name': 'Rutte Dry Gin', 'amount': '60', 'unit': 'ml'}, {'name': 'Sorel (hibiscus) liqueur', 'amount': '15', 'unit': 'ml'}, {'name': 'Antica Formula or other well aged sweet vermouth', 'amount': '15', 'unit': 'ml'}, {'name': 'Italian red bitter liqueur', 'amount': '15', 'unit': 'ml'}]",STIR all ingredients with ice and strain into chilled glass.,Dehydrated blood red orange slice wheel on rim,Gentle/Boozy:9&Sweet/Dry&Sour:8,https://www.diffordsguide.com/cocktails/recipe/16592/crown-heights-negroni,Coupe glass,Originally served straight-up but more approachable when served on-the-rocks.,4.0,27.78% alc./vol. (55.56° proof)
3463,33,Mistaken for Strangers,https://cdn.diffords.com/contrib/stock-images/2023/02/63e620ee43e90.jpg,"[{'name': 'Bepi Tosolini Grappa di Moscato', 'amount': '30', 'unit': 'ml'}, {'name': 'Green Chartreuse liqueur', 'amount': '30', 'unit': 'ml'}, {'name': 'Lime juice (freshly squeezed)', 'amount': '15', 'unit': 'ml'}, {'name': ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'amount': '10', 'unit': 'ml'}]",SHAKE all ingredients with ice and fine strain into chilled glass (no ice in glass).,,Gentle/Boozy:9&Sweet/Dry&Sour:7,https://www.diffordsguide.com/cocktails/recipe/16617/mistaken-for-strangers,Old-fashioned glass,Grappa nestles supportively alongside Chartreuse in this Last Word-like cocktail.,4.5,27.04% alc./vol. (54.08° proof)
3464,34,Don't Give Up The Ship,https://cdn.diffords.com/contrib/stock-images/2023/02/63e622a8c1544.jpg,"[{'name': 'Rutte Dry Gin', 'amount': '45', 'unit': 'ml'}, {'name': 'Dubonnet/French rouge aromatised wine', 'amount': '15', 'unit': 'ml'}, {'name': 'De Kuyper Triple Sec (40%)', 'amount': '15', 'unit': 'ml'}, {'name': 'Fernet liqueur', 'amount': '7.5', 'unit': 'ml'}, {'name': 'Orange Bitters by Angostura', 'amount': '1', 'unit': 'dash'}]",STIR all ingredients with ice and strain into chilled glass.,Orange zest twist,Gentle/Boozy:8&Sweet/Dry&Sour:6,https://www.diffordsguide.com/cocktails/recipe/16596/dont-give-up-the-ship,Coupe glass,Fernet's assertive herbal notes brilliantly interlace this Sweet Orange Martini.,4.5,31.4% alc./vol. (62.8° proof)
3465,35,Ben Barnato,https://cdn.diffords.com/contrib/stock-images/2023/02/63e620a9a9ef4.jpg,"[{'name': 'Rémy Martin 1738 Cognac', 'amount': '40', 'unit': 'ml'}, {'name': 'Pineau des Charentes blanc', 'amount': '15', 'unit': 'ml'}, {'name': 'Kina aromatised wine', 'amount': '15', 'unit': 'ml'}, {'name': 'Lillet Blanc (or other aromatized wine)', 'amount': '15', 'unit': 'ml'}, {'name': 'Orange Curaçao liqueur', 'amount': '5', 'unit': 'ml'}, {'name': 'Angostura Aromatic Bitters', 'amount': '1', 'unit': 'dash'}]",STIR all ingredients with ice and strain into chilled glass.,Lemon zest twist,Gentle/Boozy:8&Sweet/Dry&Sour:6,https://www.diffordsguide.com/cocktails/recipe/16616/ben-barnato,Coupe glass,"Delicate honeyed sweet notes are balanced by subtle quinine bitterness and spiritous spice, all laced with grape spirit.",4.5,24.41% alc./vol. (48.82° proof)
3466,36,Pisco Sour (Difford's recipe),https://cdn.diffords.com/contrib/stock-images/2022/02/61fcf0839cb43.jpg,"[{'name': 'Pisco', 'amount': '60', 'unit': 'ml'}, {'name': 'Lime juice (freshly squeezed)', 'amount': '22.5', 'unit': 'ml'}, {'name': ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'amount': '15', 'unit': 'ml'}, {'name': 'Pasteurised egg white (or aquafaba)', 'amount': '15', 'unit': 'ml'}, {'name': 'Orange flower/blossom water (optional)', 'amount': '2.5', 'unit': 'ml'}]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,Float three drops Amargo Chuncho bitters or Angostura aromatic bitters to signify health wealth and happiness,Gentle/Boozy:7&Sweet/Dry&Sour:7,https://www.diffordsguide.com/cocktails/recipe/1563/pisco-sour-diffords-recipe,Old-fashioned glass,"All the Peruvian bartenders I've met prefer their Pisco Sours blended rather than shaken. Indeed, it is a brilliant cocktail when blended but I prefer",4.5,16.83% alc./vol. (33.66° proof)
3467,37,Dirty Shirley,https://cdn.diffords.com/contrib/stock-images/2023/02/63dbbdd39198c.jpg,"[{'name': 'Ketel One Vodka', 'amount': '30', 'unit': 'ml'}, {'name': 'Cherry Heering cherry brandy liqueur', 'amount': '10', 'unit': 'ml'}, {'name': 'Giffard Grenadine syrup', 'amount': '5', 'unit': 'ml'}, {'name': 'Lemon juice (freshly squeezed)', 'amount': '7.5', 'unit': 'ml'}, {'name': 'Thomas Henry Ginger Ale', 'amount': '120', 'unit': 'ml'}]",SHAKE first 4 ingredients with ice. Open shaker and slowly pour ginger ale over ice and other ingredients. Strain the contents of shaker into ice-filled glass.,Lemon slice & Luxardo Maraschino cherry sail,Gentle/Boozy:4&Sweet/Dry&Sour:4,https://www.diffordsguide.com/cocktails/recipe/15826/dirty-shirley,Collins glass,"Fruity, refreshing, slightly sweet and mildly alcoholic.",3.5,6.73% alc./vol. (13.46° proof)
